epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.8759,1.77801,2.55989,1.54688,0.6809,0.51304,0.55928,0.3253,1.16727,2.18151,1.07619,0.000663317,0.000663317,0.000663317
2,93.4342,1.62573,1.34777,1.4393,0.73877,0.64099,0.65384,0.38383,0.98005,10.6837,0.95621,0.00131682,0.00131682,0.00131682
3,133.875,1.58419,1.36293,1.42737,0.5117,0.37391,0.35168,0.1543,1.33647,28.8374,1.16946,0.00195712,0.00195712,0.00195712
4,173.132,1.51859,1.16146,1.36882,0.82902,0.69268,0.7991,0.48212,0.95045,2.00646,0.92481,0.0019406,0.0019406,0.0019406
5,212.669,1.41185,1.05142,1.30192,0.01243,0.00621,0.0007,0.00028,1.68259,4.85296,1.46037,0.0019208,0.0019208,0.0019208
6,252.338,1.36628,0.98172,1.26484,0.87427,0.80335,0.86482,0.54693,0.93416,2.52895,0.8963,0.001901,0.001901,0.001901
7,292.088,1.37088,0.94202,1.26707,0.8409,0.79503,0.87769,0.57118,0.87099,3.00472,0.85171,0.0018812,0.0018812,0.0018812
8,331.159,1.27173,0.88892,1.22316,0.79665,0.84677,0.87733,0.53433,0.96072,1.39854,0.90291,0.0018614,0.0018614,0.0018614
9,369.895,1.24744,0.81545,1.20717,0.83853,0.74037,0.85417,0.51226,0.96209,0.79515,0.91376,0.0018416,0.0018416,0.0018416
10,409.063,1.22066,0.80279,1.18184,0.85636,0.83478,0.91297,0.59408,0.82089,1.32668,0.81917,0.0018218,0.0018218,0.0018218
11,448.053,1.23667,0.78759,1.19933,0.8498,0.79419,0.87807,0.57291,0.83891,2.02454,0.83666,0.001802,0.001802,0.001802
12,487.226,1.20942,0.775,1.18955,0.76336,0.91365,0.90145,0.62149,0.77529,2.28472,0.78966,0.0017822,0.0017822,0.0017822
13,526.274,1.16386,0.7399,1.14697,0.85705,0.94534,0.94345,0.64754,0.75977,0.8812,0.78851,0.0017624,0.0017624,0.0017624
14,565.988,1.19585,0.74339,1.16878,0.81157,0.86957,0.88776,0.57349,0.91326,0.87537,0.87445,0.0017426,0.0017426,0.0017426
15,605.42,1.14402,0.70711,1.16605,0.80943,0.87584,0.89269,0.567,0.8432,0.96744,0.8399,0.0017228,0.0017228,0.0017228
16,644.491,1.15217,0.72876,1.14977,0.85022,0.818,0.90416,0.62771,0.81132,0.70909,0.81001,0.001703,0.001703,0.001703
17,683.421,1.13685,0.71143,1.12323,0.83621,0.88571,0.92597,0.6015,0.8814,0.60059,0.86641,0.0016832,0.0016832,0.0016832
18,722.689,1.11988,0.67714,1.13376,0.83433,0.86959,0.90894,0.59062,0.82926,0.79468,0.82242,0.0016634,0.0016634,0.0016634
19,761.871,1.08349,0.65383,1.11118,0.84343,0.92422,0.92166,0.62226,0.83165,0.87934,0.82178,0.0016436,0.0016436,0.0016436
20,801.082,1.10809,0.6585,1.1279,0.84514,0.90311,0.92968,0.64945,0.75507,1.46963,0.77389,0.0016238,0.0016238,0.0016238
21,839.959,1.09447,0.65121,1.13115,0.88075,0.89916,0.9454,0.62508,0.80925,0.71078,0.81285,0.001604,0.001604,0.001604
22,879.003,1.08402,0.63071,1.11579,0.87056,0.89689,0.93778,0.63507,0.77748,0.98849,0.78443,0.0015842,0.0015842,0.0015842
23,917.626,1.09434,0.64213,1.1111,0.88775,0.90386,0.93394,0.66083,0.74659,0.6832,0.77205,0.0015644,0.0015644,0.0015644
24,956.508,1.05777,0.63495,1.09578,0.86998,0.84781,0.90972,0.62071,0.80332,0.73438,0.81708,0.0015446,0.0015446,0.0015446
25,995.185,1.0723,0.63091,1.0923,0.8851,0.87081,0.92582,0.64225,0.77094,0.72896,0.78929,0.0015248,0.0015248,0.0015248
26,1033.78,1.0465,0.62493,1.08353,0.86076,0.91381,0.93676,0.67957,0.73794,0.82634,0.76252,0.001505,0.001505,0.001505
27,1072.69,1.05195,0.62415,1.09478,0.83598,0.89274,0.9291,0.64967,0.74597,0.75644,0.77966,0.0014852,0.0014852,0.0014852
28,1111.35,1.03392,0.6163,1.08457,0.88735,0.89047,0.9417,0.65945,0.76226,0.76307,0.77083,0.0014654,0.0014654,0.0014654
